Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1961","1961","tonnes","2458000","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1962","1962","tonnes","2996000","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1963","1963","tonnes","3187000","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1964","1964","tonnes","3319000","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1965","1965","tonnes","3460000","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1966","1966","tonnes","3856422","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1967","1967","tonnes","4054142","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1968","1968","tonnes","4723777","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1969","1969","tonnes","4168674","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1970","1970","tonnes","3801311","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1971","1971","tonnes","3890351","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1972","1972","tonnes","3875428","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1973","1973","tonnes","4207728","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1974","1974","tonnes","5097717","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1975","1975","tonnes","5825774","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1976","1976","tonnes","5245678","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1977","1977","tonnes","4500680","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1978","1978","tonnes","6040490","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1979","1979","tonnes","5985020","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1980","1980","tonnes","6629250","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1981","1981","tonnes","8289040","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1982","1982","tonnes","6968900","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1983","1983","tonnes","4523200","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1984","1984","tonnes","6296300","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1985","1985","tonnes","6122000","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1986","1986","tonnes","6049000","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1987","1987","tonnes","5879000","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1988","1988","tonnes","7253000","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1989","1989","tonnes","7007400","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1990","1990","tonnes","7080000","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1991","1991","tonnes","7228770","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1992","1992","tonnes","8149150","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1993","1993","tonnes","7081030","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1994","1994","tonnes","8971110","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1995","1995","tonnes","7886660","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1996","1996","tonnes","7783600","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1997","1997","tonnes","8300380","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1998","1998","tonnes","8366190","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","1999","1999","tonnes","9345230","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2000","2000","tonnes","8657810","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2001","2001","tonnes","9764480","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2002","2002","tonnes","9568990","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2003","2003","tonnes","9067180","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2004","2004","tonnes","10539760","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2005","2005","tonnes","10107540","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2006","2006","tonnes","8826230","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2007","2007","tonnes","8998730","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2008","2008","tonnes","9241170","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","27","Rice, paddy","2009","2009","tonnes","9972230","","Official data"
